	gamma	___LP	___LS	_avgFF_LP	_avgFF_LS	_contextSim_LP	_contextSim_LS	_+_cos__LP	_+_cos__LS	_+_cosavgFF_LP	_+_cosavgFF_LS	_+_coscontextSim_LP	_+_coscontextSim_LS
0	0.5	0.506564551422	0.506564551422	0.506564551422	0.506564551422	0.506564551422	0.506564551422	0.506564551422	0.506564551422	0.506564551422	0.515317286652	0.506564551422	0.516411378556
1	1.0	0.506564551422	0.506564551422	0.506564551422	0.506564551422	0.506564551422	0.506564551422	0.506564551422	0.506564551422	0.559080962801	0.573304157549	0.561269146608	0.578774617068
2	5.0	0.507658643326	0.509846827133	0.509846827133	0.510940919037	0.509846827133	0.512035010941	0.855579868709	0.842450765864	0.82932166302	0.7352297593	0.826039387309	0.72647702407
3	10.0	0.844638949672	0.559080962801	0.844638949672	0.584245076586	0.844638949672	0.584245076586	0.854485776805	0.796498905908	0.851203501094	0.857768052516	0.843544857768	0.852297592998
4	20.0	0.851203501094	0.853391684902	0.851203501094	0.849015317287	0.851203501094	0.85010940919	0.85010940919	0.760393873085	0.823851203501	0.85010940919	0.834792122538	0.85010940919
5	50.0	0.846827133479	0.862144420131	0.846827133479	0.847921225383	0.846827133479	0.853391684902	0.838074398249	0.757111597374	0.816192560175	0.805251641138	0.817286652079	0.812910284464
6	100.0	0.842450765864	0.862144420131	0.842450765864	0.845733041575	0.842450765864	0.845733041575	0.835886214442	0.761487964989	0.816192560175	0.812910284464	0.810722100656	0.796498905908
