	gamma	___LP	___LS	_avgFF_LP	_avgFF_LS	_ngram_LP	_ngram_LS	_+_cos__LP	_+_cos__LS	_+_cosavgFF_LP	_+_cosavgFF_LS	_+_cosngram_LP	_+_cosngram_LS
0	0.5	0.235254691689	0.235254691689	0.235254691689	0.235254691689	0.235254691689	0.235254691689	0.619302949062	0.630697050938	0.619302949062	0.630697050938	0.619302949062	0.630697050938
1	1.0	0.235254691689	0.235254691689	0.235254691689	0.235254691689	0.235254691689	0.235254691689	0.721849865952	0.765415549598	0.721849865952	0.765415549598	0.721849865952	0.765415549598
2	5.0	0.661528150134	0.570375335121	0.661528150134	0.570375335121	0.661528150134	0.570375335121	0.784852546917	0.80563002681	0.784852546917	0.80563002681	0.784852546917	0.80563002681
3	10.0	0.829758713137	0.823726541555	0.829758713137	0.823726541555	0.829758713137	0.823726541555	0.747319034853	0.76072386059	0.747319034853	0.76072386059	0.747319034853	0.76072386059
4	20.0	0.787533512064	0.767426273458	0.787533512064	0.767426273458	0.787533512064	0.767426273458	0.739946380697	0.734584450402	0.739946380697	0.734584450402	0.739946380697	0.734584450402
5	50.0	0.761394101877	0.717158176944	0.761394101877	0.717158176944	0.761394101877	0.717158176944	0.738605898123	0.725201072386	0.738605898123	0.725201072386	0.738605898123	0.725201072386
6	100.0	0.752680965147	0.705764075067	0.752680965147	0.705764075067	0.752680965147	0.705764075067	0.737935656836	0.723190348525	0.737935656836	0.723190348525	0.737935656836	0.723190348525
