	gamma	___LP	___LS	_avgFF_LP	_avgFF_LS	_contextSim_LP	_contextSim_LS	_+_cos__LP	_+_cos__LS	_+_cosavgFF_LP	_+_cosavgFF_LS	_+_coscontextSim_LP	_+_coscontextSim_LS
0	0.5	0.548717948718	0.548717948718	0.548717948718	0.548717948718	0.548717948718	0.548717948718	0.548717948718	0.548717948718	0.571794871795	0.594871794872	0.571794871795	0.594871794872
1	1.0	0.548717948718	0.548717948718	0.548717948718	0.548717948718	0.548717948718	0.548717948718	0.548717948718	0.548717948718	0.64358974359	0.64358974359	0.648717948718	0.646153846154
2	5.0	0.548717948718	0.551282051282	0.571794871795	0.55641025641	0.55641025641	0.551282051282	0.84358974359	0.874358974359	0.823076923077	0.753846153846	0.812820512821	0.751282051282
3	10.0	0.861538461538	0.633333333333	0.861538461538	0.623076923077	0.861538461538	0.625641025641	0.851282051282	0.841025641026	0.835897435897	0.833333333333	0.830769230769	0.825641025641
4	20.0	0.864102564103	0.869230769231	0.864102564103	0.853846153846	0.864102564103	0.861538461538	0.841025641026	0.815384615385	0.807692307692	0.838461538462	0.807692307692	0.835897435897
5	50.0	0.848717948718	0.871794871795	0.848717948718	0.825641025641	0.848717948718	0.848717948718	0.835897435897	0.802564102564	0.792307692308	0.8	0.792307692308	0.797435897436
6	100.0	0.846153846154	0.861538461538	0.846153846154	0.825641025641	0.846153846154	0.846153846154	0.841025641026	0.797435897436	0.794871794872	0.784615384615	0.789743589744	0.794871794872
